file,message,notes
submissions/v741_v633_med_add_c39_med_keep_v185keep_assoc_only.csv,v741: v633+C39 plus v185keep assoc-only,"auto-next C39 hedge: full v185 private KEEP, assoc-only"
submissions/v742_v633_med_add_c39_med_keep_v185_ckd_uti_assocdiff.csv,v742: v633+C39 plus CKD/UTI assocdiff,auto-next C39 hedge: CKD/UTI private KEEP plus assocdiff
submissions/v743_v633_med_add_c39_med_keep_v185_diab_pneu_assocdiff.csv,v743: v633+C39 plus Diabetes/Pneumonia assocdiff,auto-next C39 hedge: Diabetes/Pneumonia private KEEP plus assocdiff
submissions/v744_v633_med_add_c39_med_keep_v185keep_pulmonary_assocdiff.csv,v744: v633+C39 plus v185keep pulmonary assocdiff,auto-next C39 hedge: full v185 private KEEP plus pulmonary assocdiff
submissions/v745_v633_med_add_c39_med_keep_v185_ckd_assocdiff.csv,v745: v633+C39 plus CKD assocdiff,auto-next C39 hedge: CKD private KEEP plus assocdiff
submissions/v746_v633_med_add_c39_med_keep_no_v185keep_pulmonary_assocdiff.csv,v746: v633+C39 plus no-v185 pulmonary assocdiff,auto-next C39 hedge: no private KEEP plus pulmonary assocdiff
submissions/v747_v633_med_add_c39_med_keep_v185_uti_assocdiff.csv,v747: v633+C39 plus UTI assocdiff,auto-next C39 hedge: UTI private KEEP plus assocdiff
submissions/v748_v633_med_add_c39_med_keep_v185_ckd_uti_pulmonary_assocdiff.csv,v748: v633+C39 plus CKD/UTI pulmonary assocdiff,auto-next C39 hedge: CKD/UTI private KEEP plus pulmonary assocdiff
submissions/v749_v633_med_add_c39_med_keep_v185_diabetes_assocdiff.csv,v749: v633+C39 plus Diabetes assocdiff,auto-next C39 hedge: Diabetes private KEEP plus assocdiff
submissions/v750_v633_med_add_c39_med_keep_v185_pneumonia_assocdiff.csv,v750: v633+C39 plus Pneumonia assocdiff,auto-next C39 hedge: Pneumonia private KEEP plus assocdiff
submissions/v751_v633_med_add_c39_med_keep_v185_diab_pneu_pulmonary_assocdiff.csv,v751: v633+C39 plus Diabetes/Pneumonia pulmonary assocdiff,auto-next C39 hedge: Diabetes/Pneumonia private KEEP plus pulmonary assocdiff
submissions/v752_v633_med_add_c39_med_keep_v185_ckd_pulmonary_assocdiff.csv,v752: v633+C39 plus CKD pulmonary assocdiff,auto-next C39 hedge: CKD private KEEP plus pulmonary assocdiff
submissions/v753_v633_med_add_c39_med_keep_v185_uti_pulmonary_assocdiff.csv,v753: v633+C39 plus UTI pulmonary assocdiff,auto-next C39 hedge: UTI private KEEP plus pulmonary assocdiff
submissions/v754_v633_med_add_c39_med_keep_v185_diabetes_pulmonary_assocdiff.csv,v754: v633+C39 plus Diabetes pulmonary assocdiff,auto-next C39 hedge: Diabetes private KEEP plus pulmonary assocdiff
submissions/v821_v633_med_add_c39_root.csv,v821: v633 plus C39 root only,decompose v715: root C39 only
submissions/v822_v633_med_add_c390.csv,v822: v633 plus C390 only,decompose v715: upper respiratory tract unspecified
submissions/v823_v633_med_add_c399.csv,v823: v633 plus C399 only,decompose v715: lower respiratory tract unspecified
submissions/v824_v633_med_add_c39_c390.csv,v824: v633 plus C39+C390,decompose v715: root plus upper respiratory tract
submissions/v825_v633_med_add_c39_c399.csv,v825: v633 plus C39+C399,decompose v715: root plus lower respiratory tract
submissions/v826_v633_med_add_c390_c399.csv,v826: v633 plus C390+C399,decompose v715: children without root
