file,message,notes
submissions/v601_v296_icp_no_g96_g94.csv,v601: v296 ICP prune G96/G94,remove non-core CNS disorder families from ICP KEEP
submissions/v602_v296_gout_no_e79.csv,v602: v296 Gout prune E79,remove hyperuricemia/metabolism family from Gout KEEP
submissions/v603_v296_pleurisy_no_r09_j95.csv,v603: v296 Pleurisy prune R09/J95,remove symptoms/postprocedural respiratory families from Pleurisy KEEP
submissions/v604_v296_bronchitis_no_j43_j68.csv,v604: v296 Bronchitis prune J43/J68,remove emphysema/inhalation families from Bronchitis KEEP
submissions/v605_v296_thyroiditis_no_e03.csv,v605: v296 Thyroiditis prune E03,remove hypothyroidism family from Thyroiditis KEEP
submissions/v606_v296_npc_no_d00_c44_d10.csv,v606: v296 NPC prune D00/C44/D10,remove carcinoma-in-situ/skin/benign mouth families from NPC KEEP
submissions/v607_v296_ckd_no_q60_q61_q62.csv,v607: v296 CKD prune congenital Q families,remove congenital renal malformation families from CKD KEEP
submissions/v608_v296_ckd_no_i50.csv,v608: v296 CKD prune I50,remove heart failure family from CKD KEEP
submissions/v609_v296_hypothyroid_no_e04.csv,v609: v296 Hypothyroidism prune E04,remove nontoxic goiter family from Hypothyroidism KEEP
submissions/v610_v296_hematemesis_no_r36_k66.csv,v610: v296 Hematemesis prune R36/K66,remove urethral/peritoneal families from Hematemesis KEEP
submissions/v611_v296_hf_no_i97.csv,v611: v296 Heart Failure prune I97,remove large postprocedural circulatory family from HF KEEP
submissions/v612_v296_hypergonadism_no_e27.csv,v612: v296 Hypergonadism prune E27,remove adrenal family from Hypergonadism KEEP
submissions/v613_v296_uti_no_obstetric.csv,v613: v296 UTI prune obstetric families,remove pregnancy/puerperal/abortion infection families from UTI KEEP
submissions/v614_v296_uti_no_n35.csv,v614: v296 UTI prune N35,remove urethral stricture family from UTI KEEP
submissions/v615_v296_diabetes_no_o24.csv,v615: v296 Diabetes prune O24,remove pregnancy diabetes family from Diabetes KEEP
submissions/v616_v296_diabetes_no_z_p70.csv,v616: v296 Diabetes prune Z/P70,remove therapy/history/newborn metabolism extras from Diabetes KEEP
submissions/v617_v296_ild_no_j70.csv,v617: v296 ILD prune J70,remove external-agent respiratory family from ILD KEEP
submissions/v618_v296_hypopara_no_e23_e87_p71_e21.csv,v618: v296 Hypopara prune related endocrine/noise,remove pituitary/fluid/neonatal/opposite parathyroid families from Hypopara KEEP
submissions/v619_v296_hyperthyroid_no_e04_e01_e03_p72.csv,v619: v296 Hyperthyroid prune non-hyperthyroid,remove goiter/iodine/hypothyroid/neonatal families from Hyperthyroidism KEEP
submissions/v620_v296_pneumonia_no_a37_p23_j84_j85.csv,v620: v296 Pneumonia prune noisy families,remove whooping-cough/congenital/ILD/abscess families from Pneumonia KEEP
