file,message,notes
submissions/v681_v296_icp_no_g96_g94_diff.csv,v681: v296 ICP prune G96/G94 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v682_v296_gout_no_e79_diff.csv,v682: v296 Gout prune E79 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v683_v296_pleurisy_no_r09_j95_diff.csv,v683: v296 Pleurisy prune R09/J95 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v684_v296_bronchitis_no_j43_j68_diff.csv,v684: v296 Bronchitis prune J43/J68 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v685_v296_thyroiditis_no_e03_diff.csv,v685: v296 Thyroiditis prune E03 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v686_v296_npc_no_d00_c44_d10_diff.csv,v686: v296 NPC prune D00/C44/D10 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v687_v296_ckd_no_q60_q61_q62_diff.csv,v687: v296 CKD prune congenital Q plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v688_v296_ckd_no_i50_diff.csv,v688: v296 CKD prune I50 plus DIFF,small CKD KEEP prune plus CKD DIFF
submissions/v689_v296_hypothyroid_no_e04_diff.csv,v689: v296 Hypothyroidism prune E04 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v690_v296_hematemesis_no_r36_k66_diff.csv,v690: v296 Hematemesis prune R36/K66 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v691_v296_hf_no_i97_diff.csv,v691: v296 Heart Failure prune I97 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v692_v296_uti_no_obstetric_diff.csv,v692: v296 UTI prune obstetric plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v693_v296_uti_no_n35_diff.csv,v693: v296 UTI prune N35 plus DIFF,small UTI KEEP prune plus UTI DIFF
submissions/v694_v296_diabetes_no_o24_diff.csv,v694: v296 Diabetes prune O24 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v695_v296_diabetes_no_z_p70_diff.csv,v695: v296 Diabetes prune Z/P70 plus DIFF,small Diabetes KEEP prune plus Diabetes DIFF
submissions/v696_v296_ild_no_j70_diff.csv,v696: v296 ILD prune J70 plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v697_v296_hypopara_no_e23_e87_p71_e21_diff.csv,v697: v296 Hypopara prune related plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v698_v296_hyperthyroid_no_e04_e01_e03_p72_diff.csv,v698: v296 Hyperthyroid prune non-hyper plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v699_v296_pneumonia_no_a37_p23_j84_j85_diff.csv,v699: v296 Pneumonia prune noisy plus DIFF,same-condition KEEP precision plus broad DIFF isolation
submissions/v700_v296_derm_no_b37_diff.csv,v700: v296 Dermatomycosis prune B37 plus DIFF,new Dermatomycosis KEEP precision plus broad DIFF isolation
