file,message,notes
submissions/v781_v715_v185_ckd_diabetes.csv,v781: v715 plus CKD+Diabetes private KEEP,fill untested public-neutral v185 subset: CKD and Diabetes
submissions/v782_v715_v185_ckd_pneumonia.csv,v782: v715 plus CKD+Pneumonia private KEEP,fill untested public-neutral v185 subset: CKD and Pneumonia
submissions/v783_v715_v185_uti_diabetes.csv,v783: v715 plus UTI+Diabetes private KEEP,fill untested public-neutral v185 subset: UTI and Diabetes
submissions/v784_v715_v185_uti_pneumonia.csv,v784: v715 plus UTI+Pneumonia private KEEP,fill untested public-neutral v185 subset: UTI and Pneumonia
submissions/v785_v715_v185_ckd_uti_diabetes.csv,v785: v715 plus CKD+UTI+Diabetes private KEEP,"fill untested public-neutral v185 subset: CKD, UTI, Diabetes"
submissions/v786_v715_v185_ckd_uti_pneumonia.csv,v786: v715 plus CKD+UTI+Pneumonia private KEEP,"fill untested public-neutral v185 subset: CKD, UTI, Pneumonia"
submissions/v787_v715_v185_ckd_diabetes_pneumonia.csv,v787: v715 plus CKD+Diabetes+Pneumonia private KEEP,"fill untested public-neutral v185 subset: CKD, Diabetes, Pneumonia"
submissions/v788_v715_v185_uti_diabetes_pneumonia.csv,v788: v715 plus UTI+Diabetes+Pneumonia private KEEP,"fill untested public-neutral v185 subset: UTI, Diabetes, Pneumonia"
submissions/v789_v715_med_add_e329.csv,v789: v715 plus E329 thymus disease unspecified,C39 core plus singleton thymus disease addback
submissions/v790_v715_med_add_e321.csv,v790: v715 plus E321 thymus abscess,C39 core plus singleton thymus abscess addback
submissions/v791_v715_med_add_c7a091.csv,v791: v715 plus C7A091 malignant thymus carcinoid,C39 core plus malignant carcinoid tumor of thymus
submissions/v792_v715_med_add_d3a091.csv,v792: v715 plus D3A091 benign thymus carcinoid,C39 core plus benign carcinoid tumor of thymus
submissions/v793_v715_med_add_z8523.csv,v793: v715 plus Z8523 thymus cancer history,C39 core plus personal history of malignant neoplasm of thymus
submissions/v794_v715_med_add_c852.csv,v794: v715 plus C852 mediastinal B-cell lymphoma,C39 core plus root mediastinal thymic large B-cell lymphoma
submissions/v795_v715_med_add_c8522.csv,v795: v715 plus C8522 intrathoracic B-cell lymphoma,C39 core plus intrathoracic lymph node mediastinal lymphoma
submissions/v796_v715_med_add_p252.csv,v796: v715 plus P252 pneumomediastinum,C39 core plus pneumomediastinum singleton
submissions/v797_v715_med_add_n80b5.csv,v797: v715 plus N80B5 mediastinal endometriosis,C39 core plus mediastinal endometriosis singleton
submissions/v798_v715_med_add_d174.csv,v798: v715 plus D174 intrathoracic lipoma,C39 core plus benign intrathoracic lipoma singleton
submissions/v799_v715_med_add_thymus_carcinoids.csv,v799: v715 plus thymus carcinoids,C39 core plus malignant and benign thymus carcinoids
submissions/v800_v715_med_add_c852_family.csv,v800: v715 plus C852 lymphoma family,C39 core plus full mediastinal thymic large B-cell lymphoma family
