file,message,notes
submissions/v521_v296_assoc_epistaxis.csv,v521: v296 isolate Epistaxis ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v522_v296_assoc_gout.csv,v522: v296 isolate Gout ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v523_v296_assoc_pleurisy.csv,v523: v296 isolate Pleurisy ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v524_v296_assoc_bronchitis.csv,v524: v296 isolate Bronchitis ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v525_v296_assoc_thyroiditis.csv,v525: v296 isolate Thyroiditis ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v526_v296_assoc_ckd.csv,v526: v296 isolate CKD ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v527_v296_assoc_hypothyroidism.csv,v527: v296 isolate Hypothyroidism ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v528_v296_assoc_hematemesis.csv,v528: v296 isolate Hematemesis ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v529_v296_assoc_hf.csv,v529: v296 isolate Heart Failure ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v530_v296_assoc_ild.csv,v530: v296 isolate Interstitial Lung Disease ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v531_v296_assoc_hypoparathyroidism.csv,v531: v296 isolate Hypoparathyroidism ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v532_v296_assoc_hyperparathyroidism.csv,v532: v296 isolate Hyperparathyroidism ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v533_v296_assoc_hyperthyroidism.csv,v533: v296 isolate Hyperthyroidism ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v534_v296_assoc_pneumonia.csv,v534: v296 isolate Pneumonia ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v535_v296_assoc_icp.csv,v535: v296 isolate Intracranial Pressure ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v536_v296_assoc_adrenal.csv,v536: v296 isolate Latent Adrenal Insufficiency ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v537_v296_assoc_derm.csv,v537: v296 isolate Dermatomycosis ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v538_v296_assoc_npc.csv,v538: v296 isolate Nasopharyngeal Carcinoma ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v539_v296_assoc_uti.csv,v539: v296 isolate UTI ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
submissions/v540_v296_assoc_diabetes.csv,v540: v296 isolate Diabetes ASSOC only,single-condition ASSOC isolation from v286 broad ASSOC; DIFF kept empty
